ID_REF	M1M	M2M	M3M	E1M	E2M	E3M	M1F	M2F	M3F	E1F	E2F	E3F
FBtr0086164	9.630752008	9.488716235	9.418949516	9.657482095	10.39720592	9.275092044	9.282893588	8.993002329	8.997911936	8.576071603	8.377653034	9.813601805
FBtr0086165	6.269459606	6.45515458	5.57641632	5.342739622	5.262869088	5.517962227	7.681400772	7.169523195	7.332219196	6.589744015	6.815825164	6.551409888
FBtr0086166	10.53680699	10.4775547	10.36687798	10.43528782	10.91968056	10.3482872	11.64942303	11.92103503	12.16063129	12.28921385	11.93240172	12.98722029
FBtr0086168	7.12109313	7.691544633	6.392441077	6.873065086	7.219618687	5.180895755	4.237250121	4.426902084	4.483628779	6.05210501	5.47525029	7.663286261
FBtr0086169	4.686102681	4.992138473	5.119671576	5.683674	5.013256784	5.557851176	6.439229168	6.282827116	5.676648232	7.280870039	6.575997509	8.241786806
FBtr0086170	9.430807954	9.09739484	8.267647217	8.019488986	9.341560408	8.4015733	10.87830539	10.48729661	10.70863585	10.11727024	10.67875012	9.404014103
FBtr0086171	13.23580906	13.12836842	12.8140542	12.77060355	13.21608992	12.91981856	12.9643079	12.90024281	12.85860279	12.43041361	12.5607093	12.32130571
FBtr0086176	12.25764259	12.27163075	11.9460427	12.39447457	12.55620719	12.52761384	12.36524542	12.01324254	11.81147244	12.25900955	11.68776951	12.62328813
FBtr0086179	12.13405048	11.80220012	11.34031669	11.57090085	12.11684141	11.66362975	12.38817204	12.08888942	11.74768593	11.64722545	11.17698237	11.32021517
FBtr0086180	12.41047706	13.11308406	13.26383295	13.32124275	12.88444922	13.24423392	11.91654125	12.98206212	12.86108245	13.50537951	13.27951838	13.26510827
FBtr0086181	11.34949604	12.14724242	12.6318684	12.63802957	12.34764011	12.7026032	10.78489899	11.48436434	11.20238307	12.57211259	11.7220131	12.64295752
FBtr0086182	9.151572447	8.643487173	8.965757162	8.525009022	8.080511639	8.965565556	11.12157496	11.27563637	11.43203854	11.25644772	11.55601281	9.442430377
FBtr0086184	12.53172852	12.49335777	12.48284138	12.45121245	12.61971436	12.35779434	8.01849008	7.522623115	7.870921345	7.942266411	8.029538469	7.542336993
FBtr0086185	11.77235462	11.11831151	10.47201878	10.45799425	11.22210665	10.64232829	12.51296838	12.02548663	12.26630321	11.16588318	11.73126238	10.92820952
FBtr0086186	9.18020705	8.526223389	7.780480713	7.973957903	9.578456099	8.189272573	9.472042953	8.692949157	8.552051546	7.068123678	7.881590599	5.856664557
FBtr0086191	8.762173385	9.308213415	8.738781007	9.178041084	9.5062808	8.601286467	9.270206075	9.594443673	9.520551504	9.392755103	9.076700711	10.45515715
FBtr0086192	9.640393899	9.758470584	8.518094852	8.849627157	9.84658812	8.358783927	9.701320152	8.981124559	9.530938446	8.713272401	8.788848161	8.810877171
FBtr0086193	6.145165901	6.72264635	7.743293468	7.492377982	6.297503257	7.690701332	7.186553049	7.309311725	7.537739463	8.494720007	8.22635776	7.888954463
