gene	M1F	M2F	M3F	M1M	M2M	M3M	E1F	E2F	E3F	E1M	E2M	E3M
FBgn0262116	9957.00	6325.54	6293.91	6508.12	7597.30	7661.22	6964.70	7089.28	8546.16	7690.81	7657.15	8573.52
FBgn0035251	3516.00	2927.78	3166.29	2953.68	3209.16	3516.64	3138.77	3207.65	3283.61	3265.31	3279.76	3487.96
FBgn0052690	4.00	8.12	7.03	2.33	2.81	50.19	5.27	3.99	31.92	7.85	6.57	3.00
FBgn0031004	9.00	1.16	7.03	8.17	16.86	9.34	4.39	5.32	8.98	11.21	13.13	11.99
FBgn0030752	5179.00	3924.59	3765.09	4479.51	4363.79	4549.58	4209.93	4225.92	4404.74	4543.19	4278.90	4794.81
FBgn0026390	24.00	26.69	24.61	18.66	15.92	22.18	34.27	13.29	23.94	11.21	35.02	20.98
FBgn0037646	1077.00	1305.49	1378.07	1096.55	1149.01	1049.27	1385.73	1131.25	1245.82	1161.30	947.70	1041.09
FBgn0011606	99.00	97.48	96.09	165.65	151.70	177.41	108.08	89.06	95.76	183.84	179.47	163.86
FBgn0036359	465.00	254.14	309.36	576.27	327.75	464.53	347.09	265.86	436.88	409.15	337.06	565.51
FBgn0002573	17.00	35.97	36.33	40.83	32.78	42.02	31.63	34.56	25.93	24.66	33.92	33.97
FBgn0035859	11.00	8.12	2.34	12.83	9.36	9.34	10.54	5.32	6.98	8.97	3.28	14.99
FBgn0035956	3.00	5.80	12.89	17.50	11.24	5.84	8.79	10.63	5.98	10.09	7.66	5.99
FBgn0034821	82.00	67.31	53.90	55.99	65.55	65.36	56.24	86.41	64.83	68.38	58.00	53.95
FBgn0033897	3629.00	4326.11	4355.70	4116.71	4465.86	4637.11	4064.94	4195.34	4072.59	4321.25	4375.20	4358.20
FBgn0010612	15367.00	10375.46	9754.33	12172.83	11964.83	11977.36	10765.14	10994.82	13938.37	10405.74	10633.77	12754.87
FBgn0040575	380.00	225.12	247.26	243.81	267.82	284.79	243.40	291.12	322.18	262.30	287.81	266.77
FBgn0259704	639.00	429.36	481.62	437.45	445.74	450.52	515.81	482.54	545.61	453.98	416.95	478.58
FBgn0037171	6.00	23.21	15.23	22.16	30.90	14.01	15.82	10.63	18.95	29.14	25.17	16.99
FBgn0040973	7.00	9.28	9.37	5.83	10.30	14.01	9.67	5.32	8.98	20.18	8.75	9.99
FBgn0051921	2.00	5.80	3.52	4.67	6.56	70.03	4.39	5.32	25.93	17.94	6.57	2.00
FBgn0034816	54.00	29.01	31.64	38.50	48.69	145.89	29.88	39.88	58.85	54.93	56.91	52.95
FBgn0038919	309.00	328.40	292.96	312.63	359.59	394.50	330.40	283.15	319.18	282.48	305.32	361.68
FBgn0051038	9404.00	8596.51	8352.82	9971.57	9494.51	9351.26	8503.33	8855.95	9031.91	9697.30	10380.97	10963.43
FBgn0039848	34.00	26.69	36.33	31.50	38.39	42.02	30.76	25.26	39.90	26.90	42.68	48.96
FBgn0003174	496.00	466.50	494.51	537.77	558.12	620.93	472.75	499.83	485.76	516.76	526.38	597.48
FBgn0027558	1151.00	1062.96	1010.12	1196.87	1242.65	1297.88	1076.43	1054.15	1101.19	1166.90	1128.27	1190.96
FBgn0039379	457.00	475.78	476.94	488.78	505.67	486.70	462.20	433.36	510.69	547.02	543.89	564.51
FBgn0030610	2894.00	2117.80	1982.74	2301.58	2250.25	2366.99	2264.45	2201.36	2510.58	2325.96	2271.86	2488.83
FBgn0033539	1372.00	1360.03	1332.37	1489.67	1383.11	1439.10	1376.07	1314.70	1373.49	1458.35	1421.56	1474.71
FBgn0263604	783.00	531.48	485.14	578.60	592.76	563.74	584.35	608.83	600.47	554.87	654.42	651.43
FBgn0032281	45.00	12.76	19.92	19.83	9.36	25.68	22.85	17.28	31.92	25.78	16.42	25.98
FBgn0036015	66436.00	59866.90	61913.72	33981.27	48465.18	48706.62	50809.96	69305.55	67942.34	34074.50	49814.67	37036.67
FBgn0039491	3.00	10.44	7.03	11.67	9.36	54.86	11.42	9.31	14.96	11.21	5.47	8.99
FBgn0037773	130.00	111.40	80.86	135.32	123.61	120.22	102.81	110.33	113.71	119.94	101.77	120.89
FBgn0034715	6.00	6.96	9.37	8.17	3.75	3.50	7.03	11.96	3.99	3.36	4.38	5.00
FBgn0051481	588.00	787.94	744.11	642.76	692.96	695.63	673.10	751.07	704.20	497.70	654.42	604.47
FBgn0086657	769.00	779.81	753.49	837.57	871.82	833.35	756.57	781.64	770.03	804.84	803.25	771.33
FBgn0261548	1282.00	1420.37	1314.79	1233.03	1085.33	1172.99	1322.47	1325.33	1369.50	1284.60	1236.61	1170.98
FBgn0036862	5378.00	6766.50	6818.89	4754.81	4883.51	4617.27	6492.83	6110.89	6290.92	4752.81	5317.43	5007.63
FBgn0040682	11.00	9.28	16.41	14.00	21.54	12.84	7.91	19.94	9.97	17.94	17.51	20.98
FBgn0004687	6633.00	5036.29	5113.87	4607.83	4907.85	4907.89	5407.61	5528.65	5798.18	5070.04	5183.92	5183.47
FBgn0050446	762.00	662.61	635.13	838.74	902.72	835.68	625.65	700.55	738.11	816.05	815.29	864.25
FBgn0261284	805.00	784.45	614.04	538.94	667.68	618.59	780.30	749.74	676.27	610.92	650.04	519.55
FBgn0040666	829.00	583.70	558.96	500.45	586.21	555.57	646.73	668.65	645.35	662.48	657.70	583.49
FBgn0014189	3950.00	3487.11	3508.46	3203.31	3330.90	3513.14	3894.47	3388.44	3661.64	3909.86	3780.97	3876.62
FBgn0260939	2013.00	1356.55	1292.53	1331.02	1560.10	1552.32	1553.57	1476.88	1607.89	1653.39	1618.54	1724.49
FBgn0013811	114.00	105.60	71.48	76.99	84.28	59.52	87.87	97.04	104.73	79.59	86.45	99.91
FBgn0026058	17.00	12.76	15.23	18.66	14.98	22.18	17.57	17.28	11.97	17.94	15.32	14.99
FBgn0261016	72.00	76.59	80.86	86.32	65.55	73.53	61.51	87.74	79.80	84.07	107.25	80.93
FBgn0034623	4.00	3.48	3.52	8.17	10.30	1.17	4.39	5.32	2.99	5.60	3.28	9.99
FBgn0036987	712.00	519.88	515.61	558.77	589.95	616.26	565.01	572.94	607.45	612.04	673.02	555.52
FBgn0034937	78.00	73.11	75.00	55.99	58.06	86.37	74.69	63.81	83.79	82.95	75.51	81.93
FBgn0002354	725.00	538.44	544.90	503.94	541.26	550.90	586.10	562.30	661.31	578.41	502.31	589.49
FBgn0052712	3.00	4.64	2.34	4.67	5.62	4.67	3.51	2.66	3.99	5.60	5.47	5.99
FBgn0029727	3.00	4.64	4.69	3.50	4.68	5.84	3.51	2.66	5.98	5.60	3.28	5.99
FBgn0011737	1720.00	1711.64	1611.27	2085.77	2216.54	2118.39	1692.41	1716.16	1636.82	2165.67	2186.51	2054.21
FBgn0050441	11.00	18.57	10.55	5.83	10.30	14.01	4.39	18.61	13.96	6.73	18.60	18.98
FBgn0035669	2.00	3.48	4.69	3.50	4.68	4.67	4.39	5.32	1.99	3.36	5.47	1.00
FBgn0083984	439.00	479.26	714.82	45.50	57.12	46.69	494.72	602.18	415.94	88.55	78.79	55.95
FBgn0259101	57.00	49.90	64.45	94.49	116.12	123.72	49.21	50.51	79.80	48.20	54.72	63.94
FBgn0036822	145.00	99.80	93.75	83.99	99.26	105.04	106.32	109.00	127.67	52.68	82.08	82.93
FBgn0023001	678.00	674.21	452.33	673.09	632.09	518.22	753.06	507.80	539.62	707.32	502.31	563.51
FBgn0031461	6009.00	4085.90	5302.54	2960.67	3275.65	3125.65	5730.10	5394.39	3986.81	5439.95	4455.09	3439.00
FBgn0262108	649.00	409.63	408.97	432.79	509.42	477.37	485.05	465.26	511.69	534.69	526.38	512.55
FBgn0036936	138.00	92.83	87.89	106.16	113.31	127.22	103.69	97.04	116.70	154.69	133.51	135.88
FBgn0031492	974.00	1081.53	1076.91	1081.38	1074.09	1079.62	1121.24	1027.57	979.50	1159.06	1129.37	1120.02
FBgn0030543	2.00	9.28	4.69	1.17	2.81	1.17	6.15	1.33	5.98	1.12	1.09	3.00
FBgn0036820	2647.00	1957.66	2081.17	2049.61	2222.16	2277.12	2260.06	2138.88	2298.13	2157.82	2050.81	2139.13
FBgn0020633	101.00	100.96	71.48	51.33	36.52	47.85	120.38	89.06	56.85	56.05	32.83	30.97
FBgn0260758	6.00	1.16	3.52	3.50	1.87	32.68	3.51	1.33	16.96	6.73	2.19	6.99
FBgn0031208	16.00	18.57	21.09	12.83	16.86	18.67	16.70	18.61	20.95	19.06	12.04	9.99
FBgn0035678	81.00	83.55	86.72	90.99	105.82	96.87	101.93	70.45	75.81	114.34	110.53	113.90
FBgn0259151	11.00	19.73	17.58	25.66	7.49	60.69	15.82	17.28	27.93	12.33	18.60	17.98
FBgn0022943	746.00	530.32	548.42	523.78	534.70	588.25	611.59	607.50	601.46	614.28	552.65	639.44
FBgn0035335	1141.00	898.18	942.15	877.24	942.05	1023.60	919.14	974.39	1085.23	990.92	973.97	1003.12
FBgn0034371	4083.00	3418.64	3556.51	3569.61	3852.49	3872.63	3753.87	3526.69	3783.33	4094.81	3949.50	4003.50
FBgn0030344	996.00	1091.97	1142.54	1416.18	1351.28	1273.37	1114.21	1059.47	1055.30	1357.47	1352.61	1323.84
FBgn0016974	7.00	4.64	7.03	23.33	31.84	45.52	10.54	5.32	5.98	34.75	31.74	38.97
FBgn0029662	52.00	37.13	62.11	33.83	39.33	50.19	50.09	29.25	74.81	19.06	29.55	27.98
